Basic cases;;;;;;
;;;;;;
B-LOC;O;B-PER;O;;;
Manchesterben;játszott;Ronaldo;.;;;
Barcelonában;;Messi;;;;
Hamburgban;;Neymar;;;;
Münchenben;;Xavi;;;;
Madridban;;Beckham;;;;
Kölnben;;Dzsudzsák;;;;
Debrecenben;;Szalai;;;;
;;;;;;
;;;;;;
O;B-ORG;O;B-PER;O;;
A;Manchesterben;játszott;Ronaldo;.;;
;Barcelonában;;Messi;;;
;Hamburgban;;Neymar;;;
;Münchenben;;Xavi;;;
;Madridban;;Beckham;;;
;Kölnben;;Dzsudzsák;;;
;Debrecenben;;Szalai;;;
;;;;;;
B-PER;O;O;O;O;;
Forddal;járt;a;szépségkirálynő;.;;
Lincolnnal;;;;;;
Teslával;;;;;;
Austinnal;;;;;;
Morrisszal;;;;;;
;;;;;;
O;B-MISC;O;O;O;O;
Egy;Forddal;járt;a;szépségkirálynő;.;
;Lincolnnal;;;;;
;Teslával;;;;;
;Austinnal;;;;;
;Morrisszal;;;;;
;;;;;;
O;B-MISC;O;O;O;O;
A;Forddal;járt;a;szépségkirálynő;.;
;Lincolnnal;;;;;
;Teslával;;;;;
;Morrisszal;;;;;
;;;;;;
O;B-MISC;O;O;O;O;
Az;Austinnal;járt;a;szépségkirálynő;.;
;;;;;;
B-PER;O;O;O;O;;
Fordnál;járt;a;szépségkirálynő;.;;
Lincolnnál;;;;;;
Teslánál;;;;;;
Austinnál;;;;;;
Morrisnál;;;;;;
;;;;;;
O;B-ORG;O;O;O;O;
A;Fordnál;járt;a;szépségkirálynő;.;
;Lincolnnál;;;;;
;Teslánál;;;;;
;Morrisnál;;;;;
;;;;;;
O;B-ORG;O;O;O;O;
Az;Austinnál;járt;a;szépségkirálynő;.;
;;;;;;
;;;;;;
O;B-PER;O;O;;;
Összetörte;Ford;autóját;.;;;
;Lincoln;;;;;
;Tesla;;;;;
;Austin;;;;;
;Morris;;;;;
;;;;;;
O;O;B-MISC;O;O;;
Összetörte;a;Ford;autóját;.;;
;;Lincoln;;;;
;;Tesla;;;;
;;Morris;;;;
;;;;;;
O;O;B-MISC;O;O;;
Összetörte;az;Austin;autóját;.;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
B-PER;B-LOC;O;O;;;
Ronaldo;Manchesterben;játszott;.;;;
Messi;Barcelonában;;;;;
Neymar;Hamburgban;;;;;
Xavi;Münchenben;;;;;
Beckham;Madridban;;;;;
Dzsudzsák;Kölnben;;;;;
Szalai;Debrecenben;;;;;
;;;;;;
;;;;;;
B-PER;O;B-ORG;O;O;;
Ronaldo;a;Manchesterben;játszott;.;;
Messi;;Barcelonában;;;;
Neymar;;Hamburgban;;;;
Xavi;;Münchenben;;;;
Beckham;;Madridban;;;;
Dzsudzsák;;Kölnben;;;;
Szalai;;Debrecenben;;;;
;;;;;;
O;O;B-PER;O;O;;
A;szépségkirálynő;Forddal;járt;.;;
;;Lincolnnal;;;;
;;Teslával;;;;
;;Austinnal;;;;
;;Morrisszal;;;;
;;;;;;
O;O;O;B-MISC;O;O;
A;szépségkirálynő;egy;Forddal;járt;.;
;;;Lincolnnal;;;
;;;Teslával;;;
;;;Austinnal;;;
;;;Morrisszal;;;
;;;;;;
O;O;O;B-MISC;O;O;
A;szépségkirálynő;a;Forddal;járt;.;
;;;Lincolnnal;;;
;;;Teslával;;;
;;;Morrisszal;;;
;;;;;;
O;O;O;B-MISC;O;O;
A;szépségkirálynő;az;Austinnal;járt;.;
;;;;;;
O;O;B-PER;O;O;;
A;szépségkirálynő;Fordnál;járt;.;;
;;Lincolnnál;;;;
;;Teslánál;;;;
;;Austinnál;;;;
;;Morrisnál;;;;
;;;;;;
O;O;O;B-ORG;O;O;
A;szépségkirálynő;a;Fordnál;járt;.;
;;;Lincolnnál;;;
;;;Teslánál;;;
;;;Morrisnál;;;
;;;;;;
O;O;O;B-ORG;O;O;
A;szépségkirálynő;az;Austinnál;járt;.;
;;;;;;
;;;;;;
B-PER;O;O;O;O;;
Ford;autóját;törte;össze;.;;
Lincoln;;;;;;
Tesla;;;;;;
Austin;;;;;;
Morris;;;;;;
;;;;;;
O;B-MISC;O;O;O;O;
A;Ford;autóját;törte;össze;.;
;Lincoln;;;;;
;Tesla;;;;;
;Morris;;;;;
;;;;;;
O;B-MISC;O;O;O;O;
Az;Austin;autóját;törte;össze;.;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
