Basic cases;;;;;;;;;;
;;;;;;;;;;
O;O;B-PER;I-PER;O;O;;;;;
A;szomszédomat;Kovács;Imrének;hívják;.;;;;;
;;Sztankovics;Kornélnak;;;;;;;
;;Milián;Leilának;;;;;;;
;;Rung;Tamarának;;;;;;;
;;Miskey;Bodrinak;;;;;;;
;;Hessze;Elkének;;;;;;;
;;Szöghedy;Kazimirnak;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
B-ORG;O;O;B-PER;I-PER;O;O;O;O;O;O
Magyarország;miniszterelnöke;,;Orbán;Viktor;tegnap;este;nyilatkozott;a;tévében;.
Németország;kancellárja;;Angela;Merkel;;;;;;
Franciaország;elnöke;;Kovács;Imre;;;;;;
Litvánia;polgármestere;;Sztankovics;Kornél;;;;;;
Szlovénia;;;Milián;Leila;;;;;;
Bergengócia;;;Rung;Tamara;;;;;;
Alsórekettyés;;;Miskey;Bodri;;;;;;
Óperencia;;;Hessze;Elke;;;;;;
Ukrajna;;;Szöghedy;Kazimir;;;;;;
Mandzsúria;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
B-LOC;O;O;O;O;;;;;;
Magyarország;tengerparton;helyezkedik;el;.;;;;;;
Németország;;;;;;;;;;
Franciaország;;;;;;;;;;
Litvánia;;;;;;;;;;
Szlovénia;;;;;;;;;;
Bergengócia;;;;;;;;;;
Alsórekettyés;;;;;;;;;;
Óperencia;;;;;;;;;;
Ukrajna;;;;;;;;;;
Mandzsúria;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
O;B-ORG;O;O;O;O;O;;;;
A;Zsolnay;részvényárai;emelkedtek;a;tőzsdén;.;;;;
;Herendi;;;;;;;;;
;Zwack;;;;;;;;;
;Heineken;;;;;;;;;
;Borsodi;;;;;;;;;
;Soproni;;;;;;;;;
;Dreher;;;;;;;;;
;Kőbányai;;;;;;;;;
;Kozel;;;;;;;;;
;Tuborg;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
O;O;B-MISC;O;;;;;;;
Megettem;egy;Zwackot;.;;;;;;;
Megittam;;Heinekent;;;;;;;;
;;Borsodit;;;;;;;;
;;Sopronit;;;;;;;;
;;Drehert;;;;;;;;
;;Kőbányait;;;;;;;;
;;Kozelt;;;;;;;;
;;Tuborgot;;;;;;;;
;;Nestlét;;;;;;;;
;;Milkát;;;;;;;;
;;Cerbonát;;;;;;;;
;;Danone-t;;;;;;;;
;;Marsot;;;;;;;;
;;Twixet;;;;;;;;
;;Balatont;;;;;;;;
;;;;;;;;;;
O;O;B-ORG;I-ORG;I-ORG;O;;;;;
Megalakult;a;Magyar;Nemzeti;Színház;.;;;;;
Létrejött;;Német;Állami;Bank;;;;;;
;;Francia;Vidéki;Minisztérium;;;;;;
;;Görög;Egyesült;Filmszínház;;;;;;
;;Bergengóc;;Múzeum;;;;;;
;;Óperenciás;;Egyetem;;;;;;
;;Spanyol;;Főiskola;;;;;;
;;;;;;;;;;
;;;;;;;;;;
O;O;B-ORG;I-ORG;I-ORG;O;;;;;
Megalakult;az;Orosz;Nemzeti;Színház;.;;;;;
Létrejött;;Amerikai;Állami;Bank;;;;;;
;;Angol;Vidéki;Minisztérium;;;;;;
;;Arab;Egyesült;Filmszínház;;;;;;
;;Indiai;;Múzeum;;;;;;
;;Egyiptomi;;Egyetem;;;;;;
;;Észt;;Főiskola;;;;;;
;;;;;;;;;;
;;;;;;;;;;
B-PER;B-PER;O;O;O;O;;;;;
Évi;Pétertől;kapott;egy;virágot;.;;;;;
Sára;Gézától;;;könyvet;;;;;;
Orbán;Judittól;;;csomagot;;;;;;
Mici;Lénától;;;képet;;;;;;
Gabi;Janitól;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
B-PER;B-PER;O;O;O;O;;;;;
Évi;Péternek;adott;egy;virágot;.;;;;;
Sára;Gézának;;;könyvet;;;;;;
Orbán;Juditnak;;;csomagot;;;;;;
Mici;Lénának;;;képet;;;;;;
Gabi;Janinak;;;;;;;;;
